Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
129,0.110738255,0.120805369,0.151515152,0.060606061,0.363636364,0.636363636,0.220443687,0.114754371,0.01901566,0.033557047
130,0.020134228,0.016778523,0,0,1,0,0.241565601,0.411393487,0.020134228,0.020134228
299,0.033557047,0.070469799,0.2,0.1,0.4,0.6,0.264090408,0.414695915,0.015659955,0.023489933
300,0.003355705,0,0,0,1,0,0.149724366,0.411393487,0.003355705,0.003355705
301,0.033557047,0.030201342,0.6,0,0,1,0.258897464,0.413610768,0.006711409,0.010067114
302,0.006711409,0.003355705,0,0,1,0,0.260694598,0.411393487,0.006711409,0.006711409
303,0.10738255,0.104026846,0.28125,0.0625,0.09375,0.90625,0.235577453,0.416117002,0.013422819,0.043624161
471,0.080536913,0.083892617,0.166666667,0.166666667,0.5,0.5,0.247128813,0.411982863,0.021812081,0.033557047
472,0.030201342,0.026845638,0.444444444,0,0.222222222,0.777777778,0.322271224,0.415181696,0.007550336,0.010067114
473,0.093959732,0.090604027,0.357142857,0.071428571,0.107142857,0.892857143,0.224047094,0.414218273,0.009395973,0.040268456
475,0.036912752,0.033557047,0.181818182,0,0.090909091,0.909090909,0.289816578,0.416942424,0.018456376,0.033557047
476,0.033557047,0.053691275,0.2,0,0.7,0.3,0.242083793,0.413550461,0.025167785,0.040268456
643,0.104026846,0.10738255,0.35483871,0.129032258,0.129032258,0.870967742,0.231319131,0.417267265,0.00976205,0.026845638
644,0.013422819,0.100671141,0,0,1,0,0.210060639,0.411393487,0.104026846,0.104026846
646,0.080536913,0.077181208,0.25,0.041666667,0.125,0.875,0.246614296,0.418131165,0.013422819,0.023489933
647,0.013422819,0.010067114,0,0,1,0,0.150854465,0.411393487,0.013422819,0.013422819
761,0.043624161,0.697986577,0.153846154,0,0.076923077,0.923076923,0.024696803,0.088196577,0.072147651,0.137583893
763,0.080536913,0.077181208,0.416666667,0.041666667,0.041666667,0.958333333,0.262821573,0.420482748,0.008948546,0.023489933
765,0.100671141,0.110738255,0.166666667,0.066666667,0.466666667,0.533333333,0.228257993,0.418715731,0.01901566,0.030201342
766,0.036912752,0.036912752,0.363636364,0.090909091,0.181818182,0.818181818,0.297624536,0.41700236,0.010067114,0.016778523
767,0.003355705,0,0,0,1,0,0.231973539,0.411393487,0.003355705,0.003355705
768,0.046979866,0.043624161,0.357142857,0.071428571,0.214285714,0.785714286,0.211505749,0.411907387,0.009395973,0.020134228
769,0.060402685,0.063758389,0.222222222,0.166666667,0.333333333,0.666666667,0.266519662,0.419509705,0.016778523,0.023489933
770,0.110738255,0.10738255,0.393939394,0.060606061,0.060606061,0.939393939,0.233303264,0.416891367,0.009228188,0.043624161
771,0.05033557,0.05033557,0.4,0.133333333,0.2,0.8,0.244777655,0.414305587,0.008948546,0.016778523
772,0.030201342,0.026845638,0.222222222,0.222222222,0.444444444,0.555555556,0.223949528,0.413608918,0.015100671,0.023489933
773,0.067114094,0.077181208,0.1,0.15,0.45,0.55,0.279575524,0.417810763,0.040268456,0.046979866
774,0.003355705,0,0,0,1,0,0.154575524,0.411393487,0.003355705,0.003355705
775,0.090604027,0.097315436,0.37037037,0.074074074,0.111111111,0.888888889,0.228518927,0.415597922,0.010067114,0.016778523
776,0.05033557,0.046979866,0.266666667,0.2,0.266666667,0.733333333,0.258309445,0.416645331,0.012583893,0.023489933
777,0.003355705,0,0,0,1,0,0.185556781,0.411393487,0.003355705,0.003355705
815,0.063758389,0.083892617,0.210526316,0.105263158,0.157894737,0.842105263,0.279858411,0.420192685,0.015939597,0.036912752
816,0.030201342,0.593959732,0.222222222,0,0.222222222,0.777777778,0.169888521,0.085481305,0.189038031,0.55033557
819,0.003355705,0,0,0,1,0,0.160529217,0.411393487,0.003355705,0.003355705
820,0.040268456,0.036912752,0.166666667,0.083333333,0.583333333,0.416666667,0.167502756,0.329689662,0.013422819,0.023489933
870,0.010067114,0.006711409,0.666666667,0,0,1,0.192061742,0.411105644,0.010067114,0.010067114
887,0.020134228,0.053691275,0,0,0.5,0.5,0.131275266,0.000192389,0.05704698,0.05704698
890,0.043624161,0.040268456,0.153846154,0.230769231,0.461538462,0.538461538,0.290153507,0.415901305,0.014541387,0.033557047
891,0.003355705,0,0,0,1,0,0.177728776,0.411393487,0.003355705,0.003355705
900,0.010067114,0.020134228,0,0,1,0,0.279272326,0.411393487,0.023489933,0.023489933
901,0.023489933,0.020134228,0,0.142857143,0.714285714,0.285714286,0.117609072,0.000301532,0.023489933,0.023489933
903,0.003355705,0,0,0,0,1,0.000220507,0.000129862,0.003355705,0.003355705
904,0.036912752,0.040268456,0.272727273,0,0.454545455,0.545454545,0.295289165,0.414900143,0.01090604,0.020134228
906,0.003355705,0,0,0,1,0,0.164829107,0.411393487,0.003355705,0.003355705
912,0.016778523,0.05033557,0,0,1,0,0.249481808,0.411393487,0.053691275,0.053691275
916,0.003355705,0,0,0,1,0,0.315214994,0.411393487,0.003355705,0.003355705
918,0.05704698,0.053691275,0.235294118,0.058823529,0.411764706,0.588235294,0.19672482,0.113121656,0.014261745,0.023489933
920,0.016778523,0.013422819,0.6,0,0,1,0.342800441,0.414563462,0.008389262,0.010067114
921,0.003355705,0,0,0,1,0,0.209922822,0.411393487,0.003355705,0.003355705
923,0.077181208,0.073825503,0.260869565,0.043478261,0.347826087,0.652173913,0.259738268,0.340512272,0.011025887,0.013422819
924,0.040268456,0.083892617,0.333333333,0,0.333333333,0.666666667,0.272464168,0.416083334,0.021812081,0.060402685
925,0.077181208,0.073825503,0.217391304,0.043478261,0.130434783,0.869565217,0.258151575,0.416679369,0.015436242,0.040268456
926,0.016778523,0.013422819,0.4,0,0.2,0.8,0.1569129,0.40927647,0.008389262,0.013422819
927,0.124161074,0.120805369,0.297297297,0.081081081,0.135135135,0.864864865,0.226419142,0.341619248,0.010346756,0.05704698
928,0.053691275,0.05033557,0.25,0.25,0.25,0.75,0.21411935,0.413974457,0.017897092,0.026845638
929,0.100671141,0.100671141,0.2,0.1,0.133333333,0.866666667,0.222054392,0.413651836,0.016778523,0.036912752
930,0.077181208,0.087248322,0.260869565,0.043478261,0.130434783,0.869565217,0.263424572,0.342570832,0.015100671,0.036912752
931,0.05704698,0.053691275,0.411764706,0.058823529,0.176470588,0.823529412,0.213651988,0.411986932,0.00950783,0.016778523
932,0.130872483,0.127516779,0.205128205,0.076923077,0.153846154,0.846153846,0.221114975,0.128543469,0.014541387,0.043624161
933,0.080536913,0.097315436,0.333333333,0.083333333,0.208333333,0.791666667,0.266138368,0.420222283,0.011185682,0.026845638
934,0.117449664,0.124161074,0.4,0.057142857,0.085714286,0.914285714,0.238554103,0.110575094,0.009108341,0.030201342
935,0.097315436,0.093959732,0.344827586,0.068965517,0.068965517,0.931034483,0.250671026,0.416903576,0.010812826,0.026845638
936,0.144295302,0.144295302,0.325581395,0.069767442,0.186046512,0.813953488,0.209235661,0.34330709,0.0105465,0.026845638
937,0.161073826,0.16442953,0.375,0.083333333,0.125,0.875,0.195874678,0.343025536,0.009321402,0.023489933
938,0.11409396,0.130872483,0.205882353,0.058823529,0.294117647,0.705882353,0.225137817,0.11786441,0.016778523,0.043624161
939,0.134228188,0.130872483,0.275,0.1,0.275,0.725,0.235101985,0.135690713,0.011185682,0.030201342
940,0.144295302,0.140939597,0.348837209,0.069767442,0.23255814,0.76744186,0.20545627,0.415003367,0.009018456,0.023489933
941,0.127516779,0.124161074,0.263157895,0.105263158,0.157894737,0.842105263,0.222424999,0.410250623,0.014168531,0.040268456
942,0.11409396,0.11409396,0.235294118,0.029411765,0.205882353,0.794117647,0.225990661,0.133873749,0.013049963,0.043624161
943,0.100671141,0.097315436,0.233333333,0.066666667,0.1,0.9,0.248066887,0.418196651,0.014381592,0.040268456
944,0.140939597,0.137583893,0.285714286,0.071428571,0.214285714,0.785714286,0.211810259,0.111412726,0.011744966,0.040268456
945,0.137583893,0.140939597,0.292682927,0.073170732,0.170731707,0.829268293,0.206077393,0.046024211,0.011099639,0.030201342
946,0.140939597,0.151006711,0.19047619,0.142857143,0.214285714,0.785714286,0.21599727,0.049882347,0.01715138,0.036912752
947,0.11409396,0.110738255,0.205882353,0.088235294,0.176470588,0.823529412,0.223736948,0.346196621,0.014261745,0.036912752
948,0.137583893,0.134228188,0.292682927,0.048780488,0.243902439,0.756097561,0.223793261,0.411996182,0.011465324,0.020134228
949,0.120805369,0.117449664,0.222222222,0.111111111,0.305555556,0.694444444,0.235164768,0.418684283,0.013422819,0.046979866
950,0.134228188,0.167785235,0.25,0.1,0.25,0.75,0.223641125,0.343860207,0.015558267,0.033557047
951,0.120805369,0.120805369,0.305555556,0.138888889,0.194444444,0.805555556,0.233045449,0.415424772,0.010067114,0.030201342
952,0.134228188,0.130872483,0.3,0.125,0.225,0.775,0.213076075,0.127185648,0.011185682,0.043624161
953,0.100671141,0.10738255,0.266666667,0.066666667,0.333333333,0.666666667,0.245795663,0.419604049,0.011931394,0.020134228
954,0.087248322,0.087248322,0.423076923,0.038461538,0.230769231,0.769230769,0.265528793,0.421125031,0.00823673,0.020134228
955,0.036912752,0.046979866,0.272727273,0.090909091,0.545454545,0.454545455,0.219504861,0.123841042,0.010067114,0.016778523
956,0.003355705,0,0,0,1,0,0.243880926,0.411393487,0.003355705,0.003355705
957,0.006711409,0.006711409,0,0,1,0,0.168467475,0.411393487,0.010067114,0.010067114
985,0.003355705,0,0,0,1,0,0.284564498,0.411393487,0.003355705,0.003355705
987,0.043624161,0.090604027,0.461538462,0,0.230769231,0.769230769,0.23612077,0.41665791,0.007270694,0.010067114
988,0.090604027,0.087248322,0.222222222,0.111111111,0.185185185,0.814814815,0.253415819,0.417858121,0.015100671,0.023489933
989,0.023489933,0.073825503,0,0,1,0,0.193999055,0.411393487,0.077181208,0.077181208
990,0.120805369,0.117449664,0.25,0.055555556,0.222222222,0.777777778,0.201032096,0.10497843,0.012080537,0.043624161
991,0.093959732,0.100671141,0.357142857,0.071428571,0.25,0.75,0.219951961,0.416248344,0.009395973,0.013422819
992,0.063758389,0.063758389,0.315789474,0,0.315789474,0.684210526,0.242453432,0.414126518,0.009587728,0.023489933
1034,0.006711409,0.003355705,0,0,1,0,0.329878721,0.411393487,0.006711409,0.006711409
1048,0.053691275,0.053691275,0.1875,0.0625,0.375,0.625,0.273835447,0.415599402,0.013422819,0.030201342
1051,0.003355705,0,0,0,1,0,0.310804851,0.411393487,0.003355705,0.003355705
1057,0.016778523,0.016778523,0,0,1,0,0.199426681,0.411393487,0.020134228,0.020134228
1058,0.026845638,0.046979866,0.25,0.125,0.5,0.5,0.231284454,0.089050487,0.011185682,0.016778523
1060,0.077181208,0.073825503,0.347826087,0,0.217391304,0.782608696,0.282790854,0.419767579,0.00857569,0.016778523
1061,0.040268456,0.036912752,0.416666667,0.083333333,0.166666667,0.833333333,0.256109886,0.337830668,0.008053691,0.013422819
1062,0.010067114,0.006711409,0,0,1,0,0.159206174,0.411393487,0.010067114,0.010067114
1063,0.003355705,0,0,0,1,0,0.175964719,0.411393487,0.003355705,0.003355705
1066,0.016778523,0.013422819,0,0,1,0,0.310187431,0.411393487,0.016778523,0.016778523
1072,0.016778523,0.013422819,0.4,0,0.4,0.6,0.209437707,0.411638043,0.008389262,0.010067114
1073,0.006711409,0.003355705,0,0,1,0,0.300385888,0.411393487,0.006711409,0.006711409
1074,0.036912752,0.040268456,0.181818182,0,0.636363636,0.363636364,0.293996191,0.41425527,0.012304251,0.020134228
1075,0.070469799,0.070469799,0.19047619,0.095238095,0.238095238,0.761904762,0.235491153,0.41820812,0.018456376,0.040268456
1077,0.067114094,0.063758389,0.3,0.15,0.4,0.6,0.286372657,0.419859334,0.009587728,0.023489933
1078,0.087248322,0.181208054,0.230769231,0.153846154,0.153846154,0.846153846,0.202268679,0.323616465,0.030201342,0.097315436
1079,0.030201342,0.026845638,0.333333333,0.111111111,0.222222222,0.777777778,0.201519049,0.412668063,0.010067114,0.016778523
1080,0.05704698,0.11409396,0.352941176,0.176470588,0.235294118,0.764705882,0.175867436,0.406446505,0.009108341,0.026845638
1081,0.110738255,0.10738255,0.212121212,0.151515152,0.181818182,0.818181818,0.238966289,0.417129633,0.015819751,0.026845638
1082,0.077181208,0.073825503,0.347826087,0.130434783,0.217391304,0.782608696,0.247787738,0.418407169,0.011025887,0.016778523
1083,0.073825503,0.070469799,0.318181818,0.136363636,0.136363636,0.863636364,0.249824597,0.420605581,0.012304251,0.023489933
1084,0.070469799,0.104026846,0.238095238,0.095238095,0.476190476,0.523809524,0.23261406,0.418426038,0.012863535,0.030201342
1085,0.110738255,0.10738255,0.151515152,0.121212121,0.212121212,0.787878788,0.236229996,0.418075668,0.022147651,0.040268456
1086,0.036912752,0.036912752,0.454545455,0,0.090909091,0.909090909,0.312167986,0.417196229,0.009228188,0.020134228
1087,0.127516779,0.124161074,0.184210526,0.078947368,0.263157895,0.736842105,0.225808043,0.043618241,0.015939597,0.063758389
1088,0.117449664,0.11409396,0.2,0.114285714,0.171428571,0.828571429,0.229043944,0.416043746,0.014681208,0.05033557
1089,0.11409396,0.110738255,0.176470588,0.117647059,0.352941176,0.647058824,0.230773721,0.419890782,0.016299137,0.026845638
1090,0.10738255,0.104026846,0.28125,0.125,0.3125,0.6875,0.251526323,0.418017211,0.010738255,0.026845638
1091,0.060402685,0.080536913,0.222222222,0,0.444444444,0.555555556,0.210964106,0.409337887,0.01409396,0.033557047
1092,0.110738255,0.10738255,0.242424242,0,0.424242424,0.575757576,0.252794761,0.420997018,0.012304251,0.026845638
1093,0.010067114,0.087248322,0,0,1,0,0.240757075,0.411393487,0.090604027,0.090604027
1094,0.117449664,0.11409396,0.285714286,0.028571429,0.142857143,0.857142857,0.233006773,0.415326728,0.010677242,0.023489933
1095,0.100671141,0.124161074,0.1,0.1,0.266666667,0.733333333,0.225053289,0.419040202,0.042505593,0.05033557
1096,0.144295302,0.144295302,0.302325581,0.069767442,0.186046512,0.813953488,0.209361298,0.129189821,0.0105465,0.040268456
1097,0.11409396,0.110738255,0.352941176,0.088235294,0.176470588,0.823529412,0.239814515,0.416764094,0.008776458,0.043624161
1098,0.110738255,0.110738255,0.181818182,0.060606061,0.242424242,0.757575758,0.232768701,0.418416418,0.016299137,0.036912752
1099,0.120805369,0.117449664,0.111111111,0.138888889,0.166666667,0.833333333,0.222001715,0.046939538,0.024161074,0.053691275
1100,0.097315436,0.10738255,0.206896552,0.068965517,0.172413793,0.827586207,0.256966886,0.420174926,0.018456376,0.023489933
1101,0.130872483,0.130872483,0.205128205,0.051282051,0.307692308,0.692307692,0.223068442,0.118821915,0.014914243,0.033557047
1102,0.134228188,0.157718121,0.25,0.075,0.275,0.725,0.215008269,0.026353936,0.014643075,0.046979866
1103,0.144295302,0.140939597,0.255813953,0.093023256,0.302325581,0.697674419,0.217789287,0.414103209,0.013117755,0.030201342
1104,0.137583893,0.134228188,0.268292683,0.024390244,0.341463415,0.658536585,0.220356576,0.116918745,0.011465324,0.030201342
1105,0.134228188,0.134228188,0.4,0,0.05,0.95,0.219049063,0.410743435,0.007895776,0.023489933
1106,0.134228188,0.130872483,0.2,0,0.2,0.8,0.195107497,0.107591218,0.014914243,0.043624161
1107,0.147651007,0.147651007,0.227272727,0.068181818,0.159090909,0.840909091,0.205793325,0.10464471,0.013422819,0.046979866
1108,0.134228188,0.130872483,0.25,0.05,0.175,0.825,0.210512679,0.106830912,0.012202563,0.043624161
1109,0.147651007,0.147651007,0.25,0.068181818,0.227272727,0.772727273,0.223170793,0.41065797,0.012304251,0.033557047
1110,0.151006711,0.147651007,0.2,0.133333333,0.266666667,0.733333333,0.204206787,0.03540065,0.015100671,0.05704698
1111,0.151006711,0.147651007,0.333333333,0.088888889,0.088888889,0.911111111,0.20336886,0.341523053,0.010067114,0.040268456
1112,0.144295302,0.140939597,0.348837209,0.046511628,0.093023256,0.906976744,0.214471424,0.412320653,0.009619687,0.030201342
1113,0.134228188,0.130872483,0.35,0,0.1,0.9,0.218095369,0.415495068,0.009587728,0.040268456
1114,0.147651007,0.144295302,0.363636364,0.045454545,0.090909091,0.909090909,0.212042698,0.411050147,0.008685353,0.033557047
1115,0.161073826,0.157718121,0.229166667,0.041666667,0.229166667,0.770833333,0.195357865,0.105707658,0.013422819,0.033557047
1116,0.144295302,0.140939597,0.302325581,0.069767442,0.162790698,0.837209302,0.2094895,0.410557336,0.011099639,0.033557047
1117,0.144295302,0.140939597,0.255813953,0.093023256,0.23255814,0.76744186,0.211194585,0.122394797,0.012024609,0.030201342
1118,0.130872483,0.127516779,0.333333333,0.051282051,0.076923077,0.923076923,0.208885308,0.105236305,0.010067114,0.043624161
1119,0.147651007,0.144295302,0.25,0.090909091,0.25,0.75,0.212193044,0.113638146,0.012304251,0.040268456
1120,0.124161074,0.120805369,0.27027027,0.081081081,0.162162162,0.837837838,0.239667451,0.417431906,0.012416107,0.033557047
1121,0.174496644,0.17114094,0.384615385,0.115384615,0.25,0.75,0.17970486,0.039947685,0.008309364,0.033557047
1122,0.140939597,0.137583893,0.285714286,0.071428571,0.166666667,0.833333333,0.217136557,0.111995442,0.011744966,0.026845638
1123,0.134228188,0.130872483,0.275,0.1,0.15,0.85,0.22005237,0.41375469,0.012202563,0.033557047
1124,0.137583893,0.134228188,0.243902439,0.12195122,0.146341463,0.853658537,0.210334257,0.124195112,0.012507627,0.040268456
1125,0.140939597,0.137583893,0.30952381,0.071428571,0.142857143,0.857142857,0.201312543,0.107094337,0.010841507,0.023489933
1126,0.130872483,0.134228188,0.179487179,0.051282051,0.333333333,0.666666667,0.219336782,0.344113273,0.017197987,0.05033557
1127,0.137583893,0.134228188,0.243902439,0.097560976,0.243902439,0.756097561,0.201196655,0.109547294,0.012507627,0.040268456
1128,0.120805369,0.117449664,0.472222222,0.027777778,0.055555556,0.944444444,0.245237658,0.417414147,0.007106198,0.020134228
1129,0.11409396,0.110738255,0.235294118,0.088235294,0.205882353,0.794117647,0.230202996,0.117651303,0.012677107,0.026845638
1130,0.05033557,0.070469799,0.2,0.133333333,0.533333333,0.466666667,0.192495406,0.412750568,0.018456376,0.026845638
1131,0.104026846,0.104026846,0.290322581,0.032258065,0.258064516,0.741935484,0.251289256,0.121081743,0.010738255,0.020134228
1132,0.023489933,0.020134228,0.714285714,0,0.142857143,0.857142857,0.243266656,0.413644066,0.004697987,0.006711409
1133,0.046979866,0.05704698,0.285714286,0.071428571,0.357142857,0.642857143,0.244896834,0.416064465,0.013422819,0.020134228
1134,0.033557047,0.030201342,0.2,0.2,0.2,0.8,0.273406836,0.416048556,0.033557047,0.033557047
1157,0.036912752,0.063758389,0.454545455,0,0.272727273,0.727272727,0.267635562,0.409844387,0.00738255,0.013422819
1160,0.010067114,0.006711409,0,0,1,0,0.145424476,0.411393487,0.010067114,0.010067114
1161,0.100671141,0.097315436,0.333333333,0.033333333,0.166666667,0.833333333,0.245152517,0.41855035,0.009151922,0.020134228
1162,0.006711409,0.006711409,0,0,1,0,0.189084895,0.411393487,0.010067114,0.010067114
1163,0.006711409,0.003355705,0,0,1,0,0.37629548,0.411393487,0.006711409,0.006711409
1164,0.030201342,0.026845638,0.333333333,0,0.222222222,0.777777778,0.16278329,0.009522876,0.007550336,0.010067114
1207,0.006711409,0.006711409,0,0,1,0,0.153362734,0.411393487,0.010067114,0.010067114
1208,0.003355705,0,0,0,0,1,0.000220507,0.000192389,0.003355705,0.003355705
1212,0.010067114,0.006711409,0,0,0,1,0.000220507,0.000128013,0.010067114,0.010067114
1213,0.046979866,0.067114094,0.357142857,0.071428571,0.357142857,0.642857143,0.261190739,0.416894697,0.010626398,0.016778523
1214,0.026845638,0.033557047,0.375,0,0.25,0.75,0.273718302,0.414643748,0.008948546,0.013422819
1218,0.003355705,0,0,0,1,0,0.270893054,0.411393487,0.003355705,0.003355705
1222,0.003355705,0,0,0,1,0,0.300330761,0.411393487,0.003355705,0.003355705
1224,0.016778523,0.023489933,0,0,1,0,0.223109151,0.411393487,0.026845638,0.026845638
1227,0.033557047,0.144295302,0.2,0,0.3,0.7,0.150540243,0.328239716,0.073825503,0.137583893
1228,0.05033557,0.046979866,0.2,0,0,1,0.279015068,0.418791206,0.025167785,0.026845638
1229,0.033557047,0.080536913,0.2,0,0.7,0.3,0.176813671,0.09296338,0.01901566,0.026845638
1230,0.013422819,0.010067114,0,0,1,0,0.231890849,0.411393487,0.013422819,0.013422819
1231,0.090604027,0.090604027,0.296296296,0.074074074,0.111111111,0.888888889,0.252284699,0.419817157,0.011744966,0.023489933
1232,0.043624161,0.083892617,0.384615385,0,0.384615385,0.615384615,0.251725893,0.416067425,0.029082774,0.046979866
1233,0.043624161,0.040268456,0.153846154,0,0.076923077,0.923076923,0.259045034,0.417446705,0.021812081,0.040268456
1235,0.05033557,0.077181208,0.266666667,0,0.4,0.6,0.226490261,0.333743146,0.020134228,0.05033557
1237,0.05033557,0.070469799,0.266666667,0.2,0.066666667,0.933333333,0.280830577,0.420664407,0.015100671,0.040268456
1238,0.080536913,0.090604027,0.125,0.166666667,0.291666667,0.708333333,0.26141584,0.421008857,0.023489933,0.036912752
1239,0.053691275,0.053691275,0.25,0.125,0.1875,0.8125,0.247098953,0.418887401,0.014261745,0.023489933
1240,0.104026846,0.104026846,0.161290323,0.225806452,0.225806452,0.774193548,0.229533734,0.411925516,0.02147651,0.043624161
1241,0.073825503,0.080536913,0.227272727,0.045454545,0.136363636,0.863636364,0.240508169,0.415518747,0.016778523,0.026845638
1242,0.006711409,0.003355705,0,0,1,0,0.321058434,0.411393487,0.006711409,0.006711409
1243,0.083892617,0.080536913,0.24,0.16,0.16,0.84,0.237794928,0.344519509,0.013982103,0.036912752
1244,0.124161074,0.120805369,0.324324324,0.027027027,0.108108108,0.891891892,0.240767007,0.417774136,0.009550852,0.020134228
1245,0.090604027,0.087248322,0.444444444,0.074074074,0.148148148,0.851851852,0.250316469,0.103899573,0.007550336,0.013422819
1246,0.110738255,0.110738255,0.151515152,0.151515152,0.303030303,0.696969697,0.227790585,0.133538548,0.01901566,0.040268456
1247,0.120805369,0.117449664,0.166666667,0.111111111,0.277777778,0.722222222,0.245056964,0.136584211,0.01725791,0.036912752
1248,0.077181208,0.077181208,0.434782609,0.086956522,0.086956522,0.913043478,0.269349504,0.421017367,0.007718121,0.013422819
1249,0.104026846,0.104026846,0.322580645,0.129032258,0.096774194,0.903225806,0.233954547,0.41717773,0.011931394,0.030201342
1250,0.090604027,0.087248322,0.37037037,0.111111111,0.111111111,0.888888889,0.258916248,0.418945117,0.010067114,0.030201342
1251,0.11409396,0.110738255,0.176470588,0.147058824,0.205882353,0.794117647,0.239003826,0.133894837,0.016299137,0.040268456
1252,0.137583893,0.134228188,0.341463415,0.097560976,0.12195122,0.87804878,0.228074327,0.411534449,0.010583376,0.023489933
1253,0.10738255,0.110738255,0.3125,0.03125,0.1875,0.8125,0.236669653,0.418528522,0.011073826,0.020134228
1254,0.130872483,0.127516779,0.256410256,0.128205128,0.230769231,0.769230769,0.230104882,0.417879209,0.013087248,0.023489933
1255,0.100671141,0.097315436,0.266666667,0.066666667,0.1,0.9,0.240404263,0.418137824,0.012583893,0.040268456
1256,0.104026846,0.100671141,0.322580645,0.064516129,0.161290323,0.838709677,0.258224562,0.420254841,0.009456986,0.016778523
1257,0.110738255,0.110738255,0.212121212,0.090909091,0.272727273,0.727272727,0.236159834,0.341097578,0.016299137,0.030201342
1258,0.097315436,0.134228188,0.344827586,0.068965517,0.206896552,0.793103448,0.208192982,0.336476177,0.01128737,0.036912752
1259,0.120805369,0.124161074,0.333333333,0.083333333,0.166666667,0.833333333,0.246073747,0.418584018,0.010346756,0.023489933
1260,0.127516779,0.134228188,0.210526316,0.052631579,0.184210526,0.815789474,0.209975048,0.105985512,0.015287099,0.05033557
1261,0.130872483,0.127516779,0.256410256,0.025641026,0.179487179,0.820512821,0.228651797,0.41666457,0.011897498,0.033557047
1262,0.161073826,0.157718121,0.3125,0.104166667,0.125,0.875,0.203098585,0.047513745,0.010067114,0.040268456
1263,0.124161074,0.127516779,0.243243243,0.108108108,0.351351351,0.648648649,0.227456122,0.342154607,0.013087248,0.030201342
1264,0.124161074,0.124161074,0.351351351,0.081081081,0.243243243,0.756756757,0.222670521,0.413904901,0.009108341,0.016778523
1265,0.137583893,0.134228188,0.219512195,0.12195122,0.317073171,0.682926829,0.201091779,0.04502453,0.013758389,0.05033557
1266,0.137583893,0.134228188,0.195121951,0.048780488,0.317073171,0.682926829,0.225226558,0.126384274,0.017197987,0.026845638
1267,0.137583893,0.134228188,0.365853659,0.048780488,0.146341463,0.853658537,0.228840724,0.415937193,0.00917226,0.016778523
1268,0.117449664,0.11409396,0.371428571,0,0.114285714,0.885714286,0.243027248,0.118305425,0.008389262,0.016778523
1269,0.120805369,0.120805369,0.333333333,0.055555556,0.138888889,0.861111111,0.230907754,0.418424928,0.009292721,0.026845638
1270,0.151006711,0.147651007,0.222222222,0.088888889,0.222222222,0.777777778,0.21477643,0.124160334,0.013727883,0.030201342
1271,0.130872483,0.140939597,0.179487179,0.153846154,0.205128205,0.794871795,0.224546971,0.345919137,0.01635906,0.030201342
1272,0.140939597,0.144295302,0.238095238,0.047619048,0.19047619,0.80952381,0.220058277,0.344276433,0.012812691,0.05033557
1273,0.147651007,0.144295302,0.363636364,0.022727273,0.204545455,0.795454545,0.201433297,0.109844757,0.008685353,0.026845638
1274,0.134228188,0.130872483,0.225,0.025,0.175,0.825,0.200118523,0.105690269,0.013422819,0.043624161
1275,0.154362416,0.151006711,0.260869565,0.065217391,0.217391304,0.782608696,0.199129955,0.031356785,0.011874032,0.053691275
1276,0.17114094,0.167785235,0.37254902,0.039215686,0.117647059,0.882352941,0.182296734,0.045502912,0.008557047,0.043624161
1277,0.154362416,0.151006711,0.304347826,0.043478261,0.065217391,0.934782609,0.208209098,0.408667486,0.011025887,0.053691275
1278,0.140939597,0.140939597,0.238095238,0.166666667,0.214285714,0.785714286,0.223877776,0.412659553,0.01442953,0.046979866
1279,0.144295302,0.140939597,0.255813953,0.023255814,0.093023256,0.906976744,0.203592216,0.107695552,0.012024609,0.030201342
1280,0.157718121,0.184563758,0.319148936,0.085106383,0.14893617,0.85106383,0.202146426,0.047718343,0.011744966,0.043624161
1281,0.16442953,0.161073826,0.265306122,0.081632653,0.204081633,0.795918367,0.199124721,0.409904693,0.011744966,0.036912752
1282,0.161073826,0.157718121,0.270833333,0.145833333,0.145833333,0.854166667,0.194622841,0.11203392,0.012390294,0.043624161
1283,0.147651007,0.144295302,0.363636364,0.022727273,0.113636364,0.886363636,0.215037085,0.12973332,0.009228188,0.026845638
1284,0.194630872,0.191275168,0.24137931,0.034482759,0.189655172,0.810344828,0.168944607,0.337433681,0.013902205,0.05033557
1285,0.151006711,0.147651007,0.266666667,0.066666667,0.111111111,0.888888889,0.207950508,0.109156597,0.011615901,0.053691275
1286,0.167785235,0.16442953,0.22,0.06,0.2,0.8,0.193618523,0.341370622,0.015253203,0.053691275
1287,0.161073826,0.157718121,0.25,0.083333333,0.1875,0.8125,0.18933756,0.406214898,0.012390294,0.036912752
1288,0.151006711,0.147651007,0.2,0.088888889,0.155555556,0.844444444,0.210322185,0.342194934,0.016778523,0.053691275
1289,0.16442953,0.161073826,0.224489796,0.102040816,0.183673469,0.816326531,0.193139527,0.341866023,0.013702461,0.063758389
1290,0.147651007,0.144295302,0.25,0.068181818,0.318181818,0.681818182,0.21096522,0.111072716,0.012304251,0.033557047
1291,0.151006711,0.151006711,0.244444444,0.066666667,0.2,0.8,0.195163543,0.125208113,0.012863535,0.036912752
1292,0.147651007,0.144295302,0.340909091,0.022727273,0.113636364,0.886363636,0.215741205,0.346538851,0.009228188,0.033557047
